date,banks_live,volume_mn,value_cr,avg_ticket_size_inr,mom_growth_pct,yoy_growth_pct
2016-04-01,21,0.0,0.0,,,
2016-05-01,21,0.0,0.0,,,
2016-06-01,21,0.0,0.0,,,
2016-07-01,21,0.09,0.38,42.22222222222222,,
2016-08-01,21,0.09,3.09,343.3333333333333,713.1578947368421,
2016-09-01,25,0.09,32.64,3626.6666666666665,956.3106796116506,
2016-10-01,26,0.1,48.57,4857.0,48.80514705882353,
2016-11-01,30,0.29,100.46,3464.1379310344823,106.83549516162239,
2016-12-01,35,1.99,707.93,3557.437185929648,604.6884332072467,
2017-01-01,36,4.46,1696.22,3803.183856502242,139.60278558614556,
2017-02-01,44,4.38,1937.71,4423.995433789954,14.23695039558548,
2017-03-01,44,6.37,2425.14,3807.12715855573,25.154950947252154,
2017-04-01,48,7.2,2271.24,3154.4999999999995,-6.346025384101539,
2017-05-01,49,9.36,2797.07,2988.3226495726494,23.151670453144547,
2017-06-01,52,10.35,3098.36,2993.584541062802,10.771628883081231,
2017-07-01,53,11.63,3411.35,2933.2330180567496,10.101795788739842,897623.6842105263
2017-08-01,55,16.8,4156.62,2474.1785714285716,21.846776202969508,134418.44660194175
2017-09-01,57,30.98,5325.81,1719.1123305358299,28.128383157469305,16216.819852941177
2017-10-01,60,76.96,7057.78,917.0712058212058,32.52031146435941,14431.150916203418
2017-11-01,61,105.02,9669.33,920.713197486193,37.00242852568372,9525.054748158473
2017-12-01,67,145.64,13174.24,904.5756660258171,36.2477027880939,1760.952354046304
2018-01-01,71,151.83,15571.2,1025.568069551472,18.194294319824156,817.9941281201732
2018-02-01,86,171.4,19126.2,1115.8809801633606,22.830610357583225,887.0517260064717
2018-03-01,91,178.05,24172.6,1357.6298792474024,26.38474971505054,896.7507030521949
2018-04-01,97,190.08,27021.85,1421.6040614478115,11.787106062235765,1089.7399658336417
2018-05-01,101,189.48,33288.51,1756.8350221659277,23.19108425218852,1090.120733481822
2018-06-01,110,246.37,40834.03,1657.4270406299468,22.667040369184434,1217.9239985024335
2018-07-01,114,273.75,51843.14,1893.8133333333333,26.96062573299769,1419.7250355431133
2018-08-01,114,312.02,54212.26,1737.4610601884494,4.569784932008369,1204.2390211277432
2018-09-01,122,405.87,59835.36,1474.249390198832,10.372377023204704,1023.4978341322728
2018-10-01,128,482.36,74978.27,1554.4048013931504,25.307627463092054,962.3492089580576
2018-11-01,128,524.94,82232.21,1566.506838876824,9.674723089769888,750.4437225743667
2018-12-01,129,620.17,102594.82,1654.3015624748055,24.762328532821876,678.7532335831138
2019-01-01,134,672.75,109932.43,1634.0755109624672,7.152027753447965,605.9984458487463
2019-02-01,139,674.19,106737.12,1583.1904952609798,-2.906612725653379,458.0675722307619
2019-03-01,142,799.54,133460.72,1669.218800810466,25.036838168389774,452.1157012485211
2019-04-01,144,781.79,142034.39,1816.7844306015686,6.424114900623956,425.62792702942255
2019-05-01,143,733.54,152449.29,2078.268260762876,7.33266077321133,357.9636937790246
2019-06-01,142,754.54,146566.35,1942.4596442865852,-3.858948769128412,258.93187618268394
2019-07-01,143,822.29,146386.64,1780.2313052572697,-0.12261341024047967,182.36453270384473
2019-08-01,141,918.35,154504.89,1682.4183590134483,5.545758820613678,184.99990592533865
2019-09-01,141,955.02,161456.56,1690.609201901531,4.499320377497429,169.83469306443547
2019-10-01,141,1148.36,191359.94,1666.3758751610992,18.521006517170946,155.22053256230106
2019-11-01,143,1218.77,189229.09,1552.6234646405803,-1.113529822386028,130.1155350196717
2019-12-01,143,1308.4,202520.76,1547.8505044328951,7.024115583919999,97.39862109997365
2020-01-01,144,1305.02,216242.97,1657.0088581017915,6.775705364724094,96.7053489129641
2020-02-01,146,1325.69,222516.95,1678.4991212123498,2.9013567469962087,108.47194490539
2020-03-01,148,1246.84,206462.31,1655.8845561579674,-7.215018900807335,54.698933139278736
2020-04-01,153,999.57,151140.66,1512.0567844172995,-26.795035859087303,6.411313485417147
2020-05-01,155,1234.5,218391.6,1769.0692588092345,44.495597677024826,43.25524244816095
2020-06-01,155,1336.93,261835.0,1958.4795015445834,19.892431760195905,78.64605347680418
2020-07-01,164,1497.36,290537.86,1940.3340546027675,10.96219374797105,98.4729344153264
2020-08-01,168,1618.83,298307.61,1842.735864791238,2.674264207769683,93.07324836126543
2020-09-01,174,1800.14,329027.66,1827.789283055762,10.298111402521704,103.78711153018494
2020-10-01,189,2071.62,386106.74,1863.791332387214,17.347805956496188,101.76988976898716
2020-11-01,200,2210.23,390999.15,1769.0428145487122,1.2671133376226607,106.6274006813646
2020-12-01,207,2234.16,416176.21,1862.7860582948401,6.439159778224579,105.49804869387218
2021-01-01,207,2302.73,431181.89,1872.481315655765,3.6056073459845184,99.3969514939607
2021-02-01,213,2292.9,425062.76,1853.8216232718391,-1.4191528313028168,91.02489046340065
2021-03-01,216,2731.68,504886.44,1848.2634862062907,18.779269207210714,144.54169867614092
2021-04-01,220,2641.06,493663.68,1869.1876746457863,-2.222828563191359,226.62533033797786
2021-05-01,224,2539.57,490638.65,1931.9752950302611,-0.612771431756931,124.66003729081154
2021-06-01,229,2807.51,547373.17,1949.6748720396365,11.563402108659805,109.05271258617071
2021-07-01,235,3247.82,606281.14,1866.732577544322,10.761939610595084,108.67543390042181
